SIN with a Learning Rate of: 0.2 and Hidden Unit count of: 5

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 5, 1
Epochs: 10000
Learning Rate: 0.2

Target: [0.3168133636291277]	Output: [-0.9961675269468009]
Target: [-0.9949192865061075]	Output: [0.7934828852509612]
Target: [0.9280387433091354]	Output: [0.9083537626171244]
Target: [0.9996989371729779]	Output: [-0.37519754762158397]
Target: [0.42900437312191425]	Output: [-0.990080967760896]
Target: [0.5130774648475589]	Output: [0.29690215434848805]
Target: [0.7051302015772318]	Output: [-0.8827648482338994]
Target: [0.6480735991073459]	Output: [0.8982632533684596]
Target: [0.8890771883786682]	Output: [-0.9759303859827754]
Target: [0.9279079654228609]	Output: [-0.8401515423852481]
Target: [-0.16786274014851996]	Output: [0.4837054703003938]
Target: [-0.9061747635655031]	Output: [-0.23264341341300157]
Target: [-0.7514755368153289]	Output: [0.9904244573725426]
Target: [0.9018218362306012]	Output: [-0.5934316189710901]
Target: [-0.04621446552799262]	Output: [-0.9818161252872895]
Target: [-0.34211481295597723]	Output: [0.01218289544520936]
Target: [0.7458181545490362]	Output: [0.7680270834181658]
Target: [-0.35566386091674607]	Output: [-0.9927389970835719]
Target: [0.6189894211402768]	Output: [-0.998132331432139]
Target: [0.9860688690531345]	Output: [0.05600153479926678]
Target: [-0.21767177664011178]	Output: [-0.9743508315193546]
Target: [-0.9871146715009783]	Output: [0.3233590791704325]
Target: [0.7996065291429427]	Output: [-0.9533363287567556]
Target: [0.1008943541491887]	Output: [-0.9034365816404186]
Target: [-0.961982148044829]	Output: [0.9853413859460779]
Target: [-0.6224913986583794]	Output: [0.9907660679944444]
Target: [0.16270642782978859]	Output: [0.9768265200907235]
Target: [0.7745741461957177]	Output: [-0.9983808863650756]
Target: [0.3312764807829651]	Output: [-0.9889478694272572]
Target: [-0.4197312668506276]	Output: [0.997077300272336]
Target: [0.8368655422145449]	Output: [-0.9979802677132187]
Target: [0.1352505004910684]	Output: [0.9831650906199986]
Target: [0.44314886115471724]	Output: [-0.7969145182000267]
Target: [0.3673835661932575]	Output: [0.3001820149320166]
Target: [0.9993493861255509]	Output: [0.1447283819099498]
Target: [0.665893211662515]	Output: [-0.9976334820947729]
Target: [-0.7559075003450864]	Output: [0.9374673112016243]
Target: [0.7901180855620129]	Output: [-0.9789804913897093]
Target: [-0.9859604426887862]	Output: [-0.6397044254192318]
Target: [-0.87474148502929]	Output: [0.9642184023743796]
Target: [0.7876155575050794]	Output: [-0.8805105699716098]
Target: [-0.17185825465844812]	Output: [0.9825172288540205]
Target: [-0.9907975676564958]	Output: [0.984799549612774]
Target: [-0.9074278311739625]	Output: [0.8560572044120056]
Target: [-0.9999999667253003]	Output: [0.9973788147238188]
Target: [0.5947915736128707]	Output: [0.9757927863357285]
Target: [0.9359083262132254]	Output: [-0.976044910679494]
Target: [-0.09708113531167643]	Output: [-0.9903135116963623]
Target: [-0.49456946188137063]	Output: [-0.973966224314423]
Target: [0.7644291492978791]	Output: [0.7899359844039059]
Target: [-0.6115033040214688]	Output: [0.9981227337586474]
Target: [-0.8232256187757301]	Output: [0.9979374533430799]
Target: [0.5385696733923404]	Output: [0.8931881013346106]
Target: [-0.7823645010630489]	Output: [0.9892286364438929]
Target: [0.8341887134766786]	Output: [-0.9928404807174412]
Target: [0.8670222371584525]	Output: [0.5589705479891177]
Target: [0.9826416411960958]	Output: [-0.9918150971051857]
Target: [0.45927806714146296]	Output: [0.9876355514970094]
Target: [0.08051815742000629]	Output: [-0.9958726862604584]
Target: [-0.7095171633214524]	Output: [0.9982982043478574]
Target: [0.8813883580407051]	Output: [-0.9899698677399059]
Target: [0.08316691666837112]	Output: [-0.9887798826449011]
Target: [0.4551793622588859]	Output: [-0.9914357851156487]
Target: [-0.991286303058748]	Output: [0.9298198302996797]
Target: [-0.5693426186059684]	Output: [0.2278245696387745]
Target: [0.9999979248554285]	Output: [-0.9838072376913591]
Target: [-0.9799901453540172]	Output: [0.9964967789751775]
Target: [-0.4454827797479982]	Output: [0.9970702699264573]
Target: [0.6002926117628621]	Output: [-0.998330287158716]
Target: [0.8849371085429742]	Output: [-0.8739157445559065]
Target: [0.9739616484928642]	Output: [-0.9977194354731087]
Target: [-0.48854771197892366]	Output: [-0.8062073060098072]
Target: [-0.7018249000267558]	Output: [0.7233541664231642]
Target: [-0.46649317964917586]	Output: [0.9898279019205702]
Target: [0.21802187766031453]	Output: [0.9771600331650991]
Target: [-0.8607553688551978]	Output: [0.9960385618453821]
Target: [0.703338410871524]	Output: [-0.9557865025921278]
