SIN with a Learning Rate of: 0.01 and Hidden Unit count of: 6

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 6, 1
Epochs: 10000
Learning Rate: 0.01

Target: [-0.9962742389390477]	Output: [0.664111857116728]
Target: [-0.9860692385354801]	Output: [0.7113319892062789]
Target: [0.06498332535382866]	Output: [-0.9264011889648043]
Target: [0.5649110093608302]	Output: [-0.47486769457211014]
Target: [0.6206434589904578]	Output: [-0.9834784800315435]
Target: [-0.04504310978803594]	Output: [0.9389343538003161]
Target: [0.7802077674422275]	Output: [0.9111871740292518]
Target: [0.10052547460356519]	Output: [0.9605181369596185]
Target: [0.055361680083250084]	Output: [0.7985380964899086]
Target: [0.9690890734744462]	Output: [-0.3415557889329501]
Target: [0.5272263138557167]	Output: [0.8096396760733543]
Target: [0.7204567252312248]	Output: [-0.6264725166387042]
Target: [0.9999717305741224]	Output: [0.21617905777612975]
Target: [0.9991805364746599]	Output: [-0.03845515292670854]
Target: [0.3027310364564399]	Output: [0.2547880943224475]
Target: [-0.7671730062030025]	Output: [0.8405873796378733]
Target: [-0.5177343637677632]	Output: [-0.09996722949904371]
Target: [0.659569132273874]	Output: [-0.9817175905441146]
Target: [0.48075540273085676]	Output: [-0.7925483377943698]
Target: [0.6590833340899007]	Output: [0.5834545619226175]
Target: [-0.6356399401257228]	Output: [0.9152538141433502]
Target: [0.3903941385257658]	Output: [0.9104148019826696]
Target: [-0.6306534437822818]	Output: [0.3770762164603645]
Target: [0.8386471527942053]	Output: [-0.9592090875933145]
Target: [0.3651850532869837]	Output: [0.9128949510288183]
Target: [0.8661140333546026]	Output: [-0.9263894044590545]
Target: [-0.8392474769170363]	Output: [0.4794207378085018]
Target: [-0.058536495506211074]	Output: [0.9760662592130499]
Target: [0.14175152220967074]	Output: [0.8413390346686979]
Target: [-0.25935251563640405]	Output: [-0.3213462178094552]
Target: [0.3163923611069244]	Output: [0.9665190455396069]
Target: [0.890075580346454]	Output: [-0.8979741647362411]
Target: [-0.6071550984046548]	Output: [0.24912611382452102]
Target: [0.8375055998839097]	Output: [-0.818003278669027]
Target: [-0.3397807129778941]	Output: [0.8137321949912302]
Target: [0.6553469173028345]	Output: [0.28403869991339264]
Target: [0.5047117184125958]	Output: [-0.7504910469035244]
Target: [-0.0730743106966633]	Output: [-0.904091384496327]
Target: [-0.7149865436351133]	Output: [-0.06873988958777132]
Target: [-0.557807031089794]	Output: [0.9785676026364694]
Target: [-0.8963808147881029]	Output: [0.7681283985885922]
Target: [0.08980859458798786]	Output: [0.8478015122551131]
Target: [-0.755343326491377]	Output: [-0.2162382930524937]
Target: [0.7336136655579754]	Output: [-0.7791265049613424]
Target: [-0.8931117004699607]	Output: [0.4965594152262506]
Target: [-0.20746573660750567]	Output: [-0.5932594513562204]
Target: [-0.07328694736989076]	Output: [-0.88268693553433]
