SIN with a Learning Rate of: 0.1 and Hidden Unit count of: 5

===PRE-TRAINING TESTING===
Multi Layered Perceptron Size: 4, 5, 1
Epochs: 10000
Learning Rate: 0.1

Target: [0.25848275015535327]	Output: [-0.9678031934438629]
Target: [0.9192316544834029]	Output: [-0.9787111305663149]
Target: [-0.2795330136839817]	Output: [0.6347260044398929]
Target: [-0.7920389428403734]	Output: [0.4615853204618689]
Target: [-0.020498110022987865]	Output: [0.8069330871202492]
Target: [0.352825218628475]	Output: [-0.6846498247391717]
Target: [-0.7817933920635656]	Output: [0.9189271252692977]
Target: [-0.8209725034712084]	Output: [0.9864041501614366]
Target: [-0.8922742250202896]	Output: [0.982010443112322]
Target: [0.21880174197351213]	Output: [-0.9848076391737383]
Target: [-0.23932901461650152]	Output: [-0.3771267521191345]
Target: [-0.30422225620653703]	Output: [0.8519224712402698]
Target: [-0.08407248497975563]	Output: [0.2703785970386775]
Target: [-0.08613219232392076]	Output: [-0.6581077671584245]
Target: [0.6847603902975404]	Output: [-0.9582381320679348]
Target: [-0.9504471763611646]	Output: [-0.4379746156640928]
Target: [0.5077189862211149]	Output: [-0.9186140275245701]
Target: [0.9160474933898809]	Output: [-0.9900610691294603]
Target: [-0.8313139842048016]	Output: [0.7638515351128693]
Target: [-0.8085028805421993]	Output: [-0.6904709614235457]
Target: [-0.9926769705645172]	Output: [0.9444151312774736]
Target: [0.9515665210172344]	Output: [-0.9907524398908903]
Target: [-0.5843202505534035]	Output: [-0.8754270719980686]
Target: [0.3990064898670656]	Output: [-0.904002964985238]
Target: [-0.5298568041858794]	Output: [-0.9666263766726709]
Target: [-0.960471430936386]	Output: [0.9957009904510369]
Target: [0.06556051597869976]	Output: [0.22752719920976117]
Target: [-0.9984203919667944]	Output: [0.8122887359570281]
Target: [0.9303054623671885]	Output: [-0.9830780213399548]
Target: [-0.9956925975732999]	Output: [0.9531976306264085]
Target: [-0.7825557966075]	Output: [0.12178865052607389]
Target: [0.43202194248318426]	Output: [-0.9742690972426228]
Target: [0.42364391438545773]	Output: [0.9803980837927176]
Target: [0.2359658399466238]	Output: [-0.7717190115534216]
Target: [0.4975227511095266]	Output: [0.04417475697722882]
Target: [0.7817193991112852]	Output: [-0.9841474480812252]
Target: [-0.9592593175254711]	Output: [-0.7584819555738767]
Target: [-0.48916944972107473]	Output: [-0.39764830612900814]
Target: [-0.6585523222458098]	Output: [-0.15213059196678827]
Target: [0.6897181419178517]	Output: [-0.9752781292790179]
Target: [0.7427307674376944]	Output: [0.8379729234964374]
Target: [-0.6155493458246971]	Output: [-0.3867395921502228]
Target: [-0.7682664420528964]	Output: [0.9260397126930773]
Target: [-0.7454889417760365]	Output: [0.9750424764556239]
Target: [0.6144206225458567]	Output: [-0.9756058355104481]
Target: [-0.1615927136949164]	Output: [-0.49755245142019255]
Target: [-0.9560175558316005]	Output: [0.9637808107229732]
Target: [-0.8391061356620108]	Output: [0.17113324158532014]
Target: [0.23701548250261414]	Output: [-0.3407102420265091]
Target: [0.8619181553656771]	Output: [-0.976661473489742]
Target: [0.9747531380671189]	Output: [-0.991695594611653]
Target: [-0.5575096145344851]	Output: [0.9609226568193285]
Target: [-0.7767602412713971]	Output: [0.9471505957740732]
Target: [-0.9219359916973249]	Output: [0.3942093966294591]
Target: [0.9965059704931308]	Output: [0.5744281501559746]
Target: [-0.6533957102780851]	Output: [0.9811020251322243]
Target: [-0.9997123534230576]	Output: [0.9931957693408572]
Target: [-0.09685178973850918]	Output: [0.9928476522125933]
Target: [0.8309550590883502]	Output: [-0.8701694755129621]
Target: [0.770051682256026]	Output: [-0.9884433914560719]
Target: [0.9865963915499572]	Output: [0.4360301727641546]
Target: [-0.5449530629104453]	Output: [0.7904382862283862]
Target: [-0.7767186118093143]	Output: [0.31295886793020544]
Target: [0.9947308956360756]	Output: [-0.3210443293302545]
Target: [0.737612196154329]	Output: [0.880418447519427]
Target: [0.7803766284483508]	Output: [-0.8876981831312629]
Target: [0.23828187531994127]	Output: [-0.9312636293910956]
Target: [-0.9965757037648488]	Output: [0.1645978180944211]
Target: [0.6388914409901496]	Output: [-0.3116535209087015]
Target: [0.39734002649345845]	Output: [-0.2172778086438243]
Target: [0.7511418734507034]	Output: [0.5098226455896706]
Target: [-0.05814675243079419]	Output: [0.9895022439482644]
Target: [0.9998842542261458]	Output: [-0.7187883064305938]
Target: [-0.553574115433827]	Output: [-0.7895943361144088]
Target: [0.9368196195952266]	Output: [0.9519974887227061]
Target: [0.4958651243771606]	Output: [-0.863655438683903]
Target: [-0.6744806396054742]	Output: [0.9421826389995396]
Target: [0.9667756755879898]	Output: [0.6691039836673164]
Target: [-0.1772446835595148]	Output: [-0.9082877296009781]
Target: [-0.672429363934821]	Output: [0.7810471719082506]
Target: [0.805159726044856]	Output: [0.2902322451988644]
