,age,workclass,education-level,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Income-category
0,0.16972543976116622,2,1.5710597513418794,2,3,0,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,1
1,0.39108719929664115,4,-0.41150012870188374,0,2,4,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
2,-0.9370833579162083,4,1.1745477753331266,2,2,0,4,1,-0.14899242505607924,-0.2119233470577609,1.4604136070561546,37,1
3,-1.232232370630175,0,-0.014988152693131135,4,0,1,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
4,-1.0846578642731917,4,-0.41150012870188374,2,5,0,2,1,-0.14899242505607924,-0.2119233470577609,2.4573623563691744,37,0
5,-0.19921082613129196,0,-0.41150012870188374,2,0,0,4,1,0.3530964043589974,-0.2119233470577609,-0.8658001413408921,37,0
6,0.46487445247513276,4,0.38152382331562146,2,9,0,4,1,-0.14899242505607924,-0.2119233470577609,-1.3642745159974021,37,1
7,-0.5681470920237501,6,-2.394060008745647,2,9,0,4,1,-0.14899242505607924,-0.2119233470577609,1.626571731941658,37,0
8,0.46487445247513276,4,1.1745477753331266,2,3,0,4,1,0.9653432910360424,-0.2119233470577609,0.7957811075141412,37,1
9,0.46487445247513276,4,1.5710597513418794,0,9,1,4,1,-0.14899242505607924,-0.2119233470577609,0.3803857953003829,37,0
10,-1.0846578642731917,4,-0.41150012870188374,4,11,1,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
11,-1.1584451174516832,4,-0.41150012870188374,4,7,1,2,1,-0.14899242505607924,-0.2119233470577609,-0.8658001413408921,37,0
12,1.0551724779030658,4,-0.014988152693131135,6,3,1,4,0,-0.14899242505607924,-0.2119233470577609,1.128097357285148,37,0
13,-0.4943598388452585,4,-0.41150012870188374,2,13,0,4,1,-0.14899242505607924,-0.2119233470577609,0.7957811075141412,37,0
14,1.424108743795524,4,-2.394060008745647,6,4,2,4,0,-0.14899242505607924,-0.2119233470577609,0.3803857953003829,13,0
15,-0.12542357295280032,4,-0.41150012870188374,0,6,2,4,0,-0.14899242505607924,-0.2119233470577609,-0.6996420164553888,37,0
16,0.9813852247245742,4,0.7780357993243741,2,3,0,4,1,-0.14899242505607924,-0.2119233470577609,1.2111764197278996,37,1
17,0.9813852247245742,4,-0.014988152693131135,4,3,1,4,0,-0.14899242505607924,-0.2119233470577609,0.7957811075141412,37,0
18,-0.4943598388452585,6,0.7780357993243741,4,11,1,4,1,-0.14899242505607924,-0.2119233470577609,3.288152980796691,37,0
19,-1.1584451174516832,4,-0.41150012870188374,0,7,4,4,0,-0.14899242505607924,-0.2119233470577609,-0.8658001413408921,37,0
20,0.39108719929664115,1,-0.014988152693131135,0,3,4,4,1,-0.14899242505607924,-0.2119233470577609,1.626571731941658,37,1
21,-0.9370833579162083,7,1.1745477753331266,4,1,1,4,0,-0.14899242505607924,-0.2119233470577609,3.288152980796691,37,0
22,0.7600234651890994,4,-0.41150012870188374,6,2,4,1,0,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,33,0
23,-1.379806876987158,4,-0.014988152693131135,4,7,3,4,1,-0.14899242505607924,-0.2119233470577609,-0.45040482912713375,37,0
24,-1.3060196238086665,4,-0.014988152693131135,4,5,3,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
25,-0.2729980793097836,4,1.5710597513418794,2,11,0,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,1
26,-0.42057258566676686,4,1.1745477753331266,4,9,1,4,0,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
27,-0.12542357295280032,4,-0.41150012870188374,0,13,1,4,1,-0.14899242505607924,-0.2119233470577609,0.7957811075141412,37,0
28,-0.4943598388452585,4,-0.41150012870188374,2,7,0,4,1,-0.14899242505607924,-0.2119233470577609,1.128097357285148,37,0
29,0.39108719929664115,0,-1.6010360567281416,2,0,0,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
30,-1.379806876987158,4,-0.41150012870188374,4,13,2,2,1,-0.14899242505607924,-0.2119233470577609,0.3803857953003829,37,0
31,0.24351269293965785,5,2.3640837033593844,2,9,0,4,1,-0.14899242505607924,-0.2119233470577609,0.3803857953003829,37,1
32,-0.5681470920237501,6,0.38152382331562146,2,2,0,4,1,-0.14899242505607924,-0.2119233470577609,0.7957811075141412,37,0
33,0.39108719929664115,4,-0.014988152693131135,6,1,4,4,0,-0.14899242505607924,-0.2119233470577609,-0.6996420164553888,37,0
34,-1.3060196238086665,4,-0.014988152693131135,4,1,3,4,0,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
35,0.09593818658267458,4,-1.6010360567281416,4,2,2,2,1,-0.14899242505607924,-0.2119233470577609,1.2111764197278996,37,0
36,2.457130288294407,4,-1.2045240807193889,6,1,4,4,0,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
37,-1.4535941301656499,4,-0.014988152693131135,4,11,1,4,0,-0.14899242505607924,-0.2119233470577609,-0.8658001413408921,37,0
38,0.9813852247245742,1,-0.41150012870188374,0,1,1,4,0,-0.14899242505607924,-0.2119233470577609,0.21422767041487958,37,0
39,0.7600234651890994,0,-0.41150012870188374,2,0,0,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
40,-0.7157215983807335,6,-0.014988152693131135,4,2,1,4,1,-0.14899242505607924,-0.2119233470577609,0.3803857953003829,37,0
41,-1.4535941301656499,7,-0.014988152693131135,4,9,3,4,1,-0.14899242505607924,-0.2119233470577609,-2.5273813901959254,37,0
42,0.5386617056536244,4,-0.41150012870188374,2,2,0,4,1,-0.14899242505607924,-0.2119233470577609,-0.03500951691337542,37,0
